time,pos1,pos2,vel1,vel2,tau1,tau2
1.876499999999984736e+00,3.587888806484614834e-01,-9.898896638143381832e-01,1.269569420388550141e+00,-1.961104394755246005e+00,0.000000000000000000e+00,-8.438138692859769918e+00
1.880999999999984684e+00,3.645019430402099414e-01,-9.987146335907367556e-01,1.283462975235510894e+00,-1.985157573328847125e+00,0.000000000000000000e+00,-8.571148086446651604e+00
1.885499999999984633e+00,3.702775264287697654e-01,-1.007647842670716498e+00,1.297530812893602725e+00,-2.009618369174481778e+00,0.000000000000000000e+00,-8.707261401590853822e+00
1.889999999999984581e+00,3.761164150867910005e-01,-1.016691125332001677e+00,1.311777177838586494e+00,-2.034495324626261592e+00,0.000000000000000000e+00,-8.846570375716515500e+00
1.894499999999984530e+00,3.820194123870646608e-01,-1.025846354292819784e+00,1.326206397593710840e+00,-2.059797134953361031e+00,0.000000000000000000e+00,-8.989168754829959695e+00
1.898999999999984478e+00,3.879873411762363444e-01,-1.035115441400109804e+00,1.340822878868749957e+00,-2.085532640758585021e+00,0.000000000000000000e+00,-9.135152144145701314e+00
1.903499999999984427e+00,3.940210441311456924e-01,-1.044500338283523400e+00,1.355631102743497740e+00,-2.111710818511975063e+00,0.000000000000000000e+00,-9.284617819266532734e+00
1.907999999999984375e+00,4.001213840934914057e-01,-1.054003036966827178e+00,1.370635618762440000e+00,-2.138340768959733573e+00,0.000000000000000000e+00,-9.437664491758175345e+00
1.912499999999984324e+00,4.062892443779224094e-01,-1.063625570427146005e+00,1.385841037791195163e+00,-2.165431703117432605e+00,0.000000000000000000e+00,-9.594392022139061282e+00
1.916999999999984272e+00,4.125255290479827863e-01,-1.073370013091174524e+00,1.401252023467493446e+00,-2.192992925521892289e+00,0.000000000000000000e+00,-9.754901072394696726e+00
1.921499999999984221e+00,4.188311631535864832e-01,-1.083238481256022956e+00,1.416873282059809780e+00,-2.221033814378035931e+00,0.000000000000000000e+00,-9.919292689118188733e+00
1.925999999999984169e+00,4.252070929228556340e-01,-1.093233133420724146e+00,1.432709550525199438e+00,-2.249563798195258091e+00,0.000000000000000000e+00,-1.008766780726889856e+01
1.930499999999984118e+00,4.316542859002190369e-01,-1.103356170512602707e+00,1.448765582534275342e+00,-2.278592328462190952e+00,0.000000000000000000e+00,-1.026012666332711376e+01
1.934999999999984066e+00,4.381737310216232695e-01,-1.113609835990682528e+00,1.465046132205569229e+00,-2.308128847859120647e+00,0.000000000000000000e+00,-1.043676810530356391e+01
1.939499999999984015e+00,4.447664386165483541e-01,-1.123996415806048477e+00,1.481555935263683343e+00,-2.338182753453621920e+00,0.000000000000000000e+00,-1.061768878564190288e+01
1.943999999999983963e+00,4.514334403252349137e-01,-1.134518238196589701e+00,1.498299687305675532e+00,-2.368763354267309218e+00,0.000000000000000000e+00,-1.080298222153734677e+01
1.948499999999983912e+00,4.581757889181104493e-01,-1.145177673290792564e+00,1.515282018828125965e+00,-2.399879822540144314e+00,0.000000000000000000e+00,-1.099273770560042074e+01
1.952999999999983860e+00,4.649945580028370107e-01,-1.155977132492223225e+00,1.532507466633456827e+00,-2.431541137953845411e+00,0.000000000000000000e+00,-1.118703904814339900e+01
1.957499999999983809e+00,4.718908416026875718e-01,-1.166919067613015448e+00,1.549980441198624881e+00,-2.463756024008247447e+00,0.000000000000000000e+00,-1.138596313069293053e+01
1.961999999999983757e+00,4.788657535880813665e-01,-1.178005969721052537e+00,1.567705189552707656e+00,-2.496532875674875473e+00,0.000000000000000000e+00,-1.158957824868237552e+01
1.966499999999983705e+00,4.859204269410685728e-01,-1.189240367661589470e+00,1.585685753172794588e+00,-2.529879677381797087e+00,0.000000000000000000e+00,-1.179794221971695656e+01
1.970999999999983654e+00,4.930560128303461687e-01,-1.200624826209807594e+00,1.603925920370838698e+00,-2.563803910314834678e+00,0.000000000000000000e+00,-1.201110023242016567e+01
1.975499999999983602e+00,5.002736794720149538e-01,-1.212161943806224329e+00,1.622429172608892634e+00,-2.598312447954759463e+00,0.000000000000000000e+00,-1.222908240977345606e+01
1.979999999999983551e+00,5.075746107487549841e-01,-1.223854349822020682e+00,1.641198624147953256e+00,-2.633411438711286134e+00,0.000000000000000000e+00,-1.245190106019731502e+01
1.984499999999983499e+00,5.149600045574207474e-01,-1.235704701296221453e+00,1.660236954408441212e+00,-2.669106174466451709e+00,0.000000000000000000e+00,-1.267954758956962635e+01
1.988999999999983448e+00,5.224310708522587055e-01,-1.247715679081320417e+00,1.679546332400572162e+00,-2.705400943807242609e+00,0.000000000000000000e+00,-1.291198904816201321e+01
1.993499999999983396e+00,5.299890293480612469e-01,-1.259889983328452923e+00,1.699128332573610400e+00,-2.742298868716254834e+00,0.000000000000000000e+00,-1.314916428836498596e+01
1.997999999999983345e+00,5.376351068446424408e-01,-1.272230328237676122e+00,1.718983841437919935e+00,-2.779801723507175026e+00,0.000000000000000000e+00,-1.339097971239179685e+01
2.002499999999983515e+00,5.453705341311130272e-01,-1.284739435993458301e+00,1.739112954337316941e+00,-2.817909734847862335e+00,0.000000000000000000e+00,-1.363730459427630315e+01
2.006999999999983686e+00,5.531965424256309882e-01,-1.297420029800273600e+00,1.759514861796740881e+00,-2.856621361818342031e+00,0.000000000000000000e+00,-1.388796596784035131e+01
2.011499999999983856e+00,5.611143593037163368e-01,-1.310274825928456233e+00,1.780187724947801975e+00,-2.895933055116198140e+00,0.000000000000000000e+00,-1.414274308238051603e+01
2.015999999999984027e+00,5.691252040659814382e-01,-1.323306524676479023e+00,1.801128539649252902e+00,-2.935838994761523768e+00,0.000000000000000000e+00,-1.440136144112266869e+01
2.020499999999984198e+00,5.772302824944031130e-01,-1.336517800152905888e+00,1.822332989078557119e+00,-2.976330805982905670e+00,0.000000000000000000e+00,-1.466348645454298349e+01
2.024999999999984368e+00,5.854307809452565792e-01,-1.349911288779829022e+00,1.843795284782710375e+00,-3.017397253401264745e+00,0.000000000000000000e+00,-1.492871676195283470e+01
2.029499999999984539e+00,5.937278597267787728e-01,-1.363489576420134686e+00,1.865507996449843553e+00,-3.059023914186492998e+00,0.000000000000000000e+00,-1.519657730072546364e+01
2.033999999999984709e+00,6.021226457108030949e-01,-1.377255184033973956e+00,1.887461871006213210e+00,-3.101192831559090202e+00,0.000000000000000000e+00,-1.546651223348560045e+01
2.038499999999984880e+00,6.106162241303310090e-01,-1.391210551775989845e+00,1.909645642063433568e+00,-3.143882150859935720e+00,0.000000000000000000e+00,-1.573787787954583273e+01
2.042999999999985050e+00,6.192096295196164446e-01,-1.405358021454859552e+00,1.932045831243972112e+00,-3.187065741426930998e+00,0.000000000000000000e+00,-1.600993583756678618e+01
2.047499999999985221e+00,6.279038357602143572e-01,-1.419699817291280697e+00,1.954646543501847411e+00,-3.230712808702608463e+00,0.000000000000000000e+00,-1.628184653108279178e+01
2.051999999999985391e+00,6.366997452059727225e-01,-1.434238024930442501e+00,1.977429259228712599e+00,-3.274787502348329049e+00,0.000000000000000000e+00,-1.655266345580497145e+01
2.056499999999985562e+00,6.455981768725019831e-01,-1.448974568691010045e+00,2.000372626685705590e+00,-3.319248527642901792e+00,0.000000000000000000e+00,-1.682132845536972354e+01
