X;Y
91;"[[5.89876769 3.32288384]
 [3.32288384 2.33      ]]"
92;"[[5.89820196 3.32260098]
 [3.32260098 2.33      ]]"
93;"[[5.8976198 3.3223099]
 [3.3223099 2.33     ]]"
94;"[[5.89702085 3.32201043]
 [3.32201043 2.33      ]]"
95;"[[5.89640479 3.3217024 ]
 [3.3217024  2.33      ]]"
96;"[[5.89577127 3.32138564]
 [3.32138564 2.33      ]]"
97;"[[5.89511994 3.32105997]
 [3.32105997 2.33      ]]"
98;"[[5.89445045 3.32072522]
 [3.32072522 2.33      ]]"
99;"[[5.89376241 3.32038121]
 [3.32038121 2.33      ]]"
100;"[[5.89305548 3.32002774]
 [3.32002774 2.33      ]]"
101;"[[5.89232927 3.31966464]
 [3.31966464 2.33      ]]"
102;"[[5.89158341 3.3192917 ]
 [3.3192917  2.33      ]]"
103;"[[5.89081749 3.31890874]
 [3.31890874 2.33      ]]"
104;"[[5.89003113 3.31851556]
 [3.31851556 2.33      ]]"
105;"[[5.88922392 3.31811196]
 [3.31811196 2.33      ]]"
106;"[[5.88839546 3.31769773]
 [3.31769773 2.33      ]]"
107;"[[5.88754532 3.31727266]
 [3.31727266 2.33      ]]"
108;"[[5.88667308 3.31683654]
 [3.31683654 2.33      ]]"
109;"[[5.88577831 3.31638915]
 [3.31638915 2.33      ]]"
110;"[[5.88486056 3.31593028]
 [3.31593028 2.33      ]]"
111;"[[5.8839194 3.3154597]
 [3.3154597 2.33     ]]"
112;"[[5.88295436 3.31497718]
 [3.31497718 2.33      ]]"
113;"[[5.88196497 3.31448249]
 [3.31448249 2.33      ]]"
114;"[[5.88095077 3.31397539]
 [3.31397539 2.33      ]]"
115;"[[5.87991127 3.31345564]
 [3.31345564 2.33      ]]"
116;"[[5.87884598 3.31292299]
 [3.31292299 2.33      ]]"
117;"[[5.8777544 3.3123772]
 [3.3123772 2.33     ]]"
118;"[[5.87663602 3.31181801]
 [3.31181801 2.33      ]]"
