X;Y
189;[-0.6872629  -1.10787973]
190;[-0.72366668 -1.13001735]
191;[-0.75998856 -1.15215063]
192;[-0.79622509 -1.17427827]
193;[-0.83237279 -1.19639893]
194;[-0.86842821 -1.21851131]
195;[-0.9043879  -1.24061412]
196;[-0.94024842 -1.26270604]
197;[-0.97600633 -1.28478581]
198;[-1.01165821 -1.30685214]
199;[-1.04720065 -1.32890376]
200;[-1.08263025 -1.35093942]
201;[-1.1179436  -1.37295785]
202;[-1.15313733 -1.39495782]
203;[-1.18820806 -1.41693809]
204;[-1.22315243 -1.43889744]
205;[-1.2579671  -1.46083466]
206;[-1.29264871 -1.48274853]
207;[-1.32719395 -1.50463785]
208;[-1.3615995  -1.52650145]
209;[-1.39586206 -1.54833815]
210;[-1.42997834 -1.57014678]
211;[-1.46394506 -1.59192619]
212;[-1.49775897 -1.61367523]
213;[-1.53141681 -1.63539276]
214;[-1.56491536 -1.65707767]
215;[-1.59825139 -1.67872884]
216;[-1.63142169 -1.70034518]
217;[-1.66442309 -1.72192559]
218;[-1.6972524  -1.74346899]
219;[-1.72990647 -1.76497433]
220;[-1.76238216 -1.78644055]
221;[-1.79467633 -1.8078666 ]
222;[-1.82678588 -1.82925146]
223;[-1.85870772 -1.85059412]
224;[-1.89043877 -1.87189356]
225;[-1.92197597 -1.8931488 ]
226;[-1.95331628 -1.91435886]
227;[-1.98445668 -1.93552278]
228;[-2.01539415 -1.9566396 ]
229;[-2.04612572 -1.97770839]
230;[-2.07664841 -1.99872821]
231;[-2.10695928 -2.01969817]
232;[-2.13705538 -2.04061736]
233;[-2.16693381 -2.06148491]
234;[-2.19659167 -2.08229993]
235;[-2.2260261  -2.10306158]
236;[-2.25523422 -2.12376902]
237;[-2.28421322 -2.14442143]
238;[-2.31296027 -2.16501798]
239;[-2.34147259 -2.18555788]
240;[-2.36974738 -2.20604036]
241;[-2.39778192 -2.22646465]
242;[-2.42557345 -2.24682999]
243;[-2.45311927 -2.26713566]
244;[-2.48041668 -2.28738092]
245;[-2.50746303 -2.30756508]
246;[-2.53425565 -2.32768745]
247;[-2.56079193 -2.34774735]
248;[-2.58706925 -2.36774412]
249;[-2.61308504 -2.38767713]
250;[-2.63883673 -2.40754575]
251;[-2.66432179 -2.42734937]
252;[-2.6895377 -2.4470874]
253;[-2.71448196 -2.46675927]
254;[-2.7391521 -2.4863644]
255;[-2.76354567 -2.50590227]
256;[-2.78766025 -2.52537233]
257;[-2.81149343 -2.5447741 ]
258;[-2.83504284 -2.56410706]
259;[-2.8583061  -2.58337076]
260;[-2.8812809  -2.60256472]
261;[-2.90396491 -2.62168851]
262;[-2.92635585 -2.64074171]
263;[-2.94845146 -2.6597239 ]
264;[-2.97024949 -2.67863471]
265;[-2.99174772 -2.69747376]
266;[-3.01294397 -2.7162407 ]
267;[-3.03383606 -2.73493519]
268;[-3.05442184 -2.75355691]
269;[-3.07469919 -2.77210557]
270;[-3.09466602 -2.79058089]
271;[-3.11432024 -2.8089826 ]
272;[-3.13365981 -2.82731045]
273;[-3.1526827  -2.84556423]
274;[-3.1713869  -2.86374372]
275;[-3.18977044 -2.88184873]
276;[-3.20783137 -2.89987909]
277;[-3.22556774 -2.91783465]
278;[-3.24297766 -2.93571528]
279;[-3.26005925 -2.95352085]
280;[-3.27681064 -2.97125129]
281;[-3.29323    -2.98890649]
282;[-3.30931553 -3.00648642]
283;[-3.32506544 -3.02399103]
284;[-3.34047796 -3.04142029]
285;[-3.35555136 -3.05877422]
286;[-3.37028394 -3.07605282]
287;[-3.384674   -3.09325613]
288;[-3.39871988 -3.11038421]
289;[-3.41241994 -3.12743714]
290;[-3.42577256 -3.14441502]
291;[-3.43877617 -3.16131795]
292;[-3.45142918 -3.17814608]
293;[-3.46373007 -3.19489955]
294;[-3.47567731 -3.21157855]
295;[-3.48726942 -3.22818327]
296;[-3.49850492 -3.24471391]
297;[-3.50938237 -3.26117073]
298;[-3.51990035 -3.27755396]
299;[-3.53005747 -3.29386389]
300;[-3.53985235 -3.3101008 ]
301;[-3.54928366 -3.32626502]
302;[-3.55835006 -3.34235688]
303;[-3.56705026 -3.35837673]
304;[-3.57538299 -3.37432496]
305;[-3.583347   -3.39020194]
306;[-3.59094106 -3.40600811]
307;[-3.59816396 -3.4217439 ]
308;[-3.60501454 -3.43740976]
309;[-3.61149165 -3.45300617]
310;[-3.61759414 -3.46853364]
311;[-3.62332092 -3.48399269]
312;[-3.6286709  -3.49938384]
313;[-3.63364303 -3.51470767]
314;[-3.63823628 -3.52996476]
315;[-3.64244963 -3.54515571]
316;[-3.6462821  -3.56028114]
317;[-3.64973273 -3.57534171]
318;[-3.65280058 -3.59033807]
319;[-3.65548473 -3.60527092]
320;[-3.6577843  -3.62014096]
321;[-3.65969842 -3.63494893]
322;[-3.66122625 -3.64969558]
323;[-3.66236696 -3.66438168]
324;[-3.66311975 -3.67900803]
325;[-3.66348387 -3.69357544]
326;[-3.66345855 -3.70808475]
327;[-3.66304307 -3.72253683]
328;[-3.66223673 -3.73693255]
329;[-3.66103885 -3.75127282]
330;[-3.65944877 -3.76555857]
331;[-3.65746586 -3.77979074]
332;[-3.6550895 -3.7939703]
333;[-3.65231913 -3.80809825]
334;[-3.64915416 -3.8221756 ]
335;[-3.64559406 -3.83620339]
336;[-3.64163832 -3.85018267]
337;[-3.63728643 -3.86411453]
338;[-3.63253793 -3.87800007]
339;[-3.62739237 -3.89184042]
340;[-3.62184932 -3.90563673]
341;[-3.61590838 -3.91939017]
342;[-3.60956917 -3.93310193]
343;[-3.60283133 -3.94677324]
344;[-3.59569453 -3.96040533]
345;[-3.58815846 -3.97399946]
346;[-3.58022282 -3.98755693]
347;[-3.57188735 -4.00107904]
348;[-3.5631518  -4.01456713]
349;[-3.55401596 -4.02802255]
350;[-3.54447963 -4.04144669]
351;[-3.53454262 -4.05484094]
352;[-3.52420478 -4.06820674]
353;[-3.51346599 -4.08154553]
354;[-3.50232612 -4.09485879]
355;[-3.4907851  -4.10814802]
356;[-3.47884286 -4.12141474]
357;[-3.46649936 -4.1346605 ]
358;[-3.45375457 -4.14788686]
359;[-3.44060849 -4.16109543]
360;[-3.42706116 -4.17428782]
361;[-3.4131126  -4.18746567]
362;[-3.39876291 -4.20063066]
363;[-3.38401215 -4.21378448]
364;[-3.36886045 -4.22692883]
365;[-3.35330793 -4.24006548]
366;[-3.33735476 -4.25319617]
367;[-3.32100111 -4.26632271]
368;[-3.30424717 -4.27944692]
369;[-3.28709318 -4.29257062]
370;[-3.26953937 -4.3056957 ]
371;[-3.25158601 -4.31882405]
372;[-3.23323338 -4.33195758]
373;[-3.2144818  -4.34509823]
374;[-3.19533159 -4.35824799]
375;[-3.1757831  -4.37140884]
376;[-3.15583672 -4.38458281]
377;[-3.13549282 -4.39777194]
378;[-3.11475183 -4.41097831]
379;[-3.09361419 -4.42420402]
380;[-3.07208036 -4.4374512 ]
381;[-3.05015082 -4.450722  ]
382;[-3.02782607 -4.46401859]
383;[-3.00510663 -4.4773432 ]
384;[-2.98199306 -4.49069804]
385;[-2.95848591 -4.50408539]
386;[-2.93458579 -4.51750753]
387;[-2.91029329 -4.53096677]
388;[-2.88560906 -4.54446547]
389;[-2.86053374 -4.55800598]
390;[-2.835068   -4.57159071]
391;[-2.80921256 -4.58522208]
392;[-2.78296811 -4.59890256]
393;[-2.75633541 -4.61263461]
394;[-2.72931521 -4.62642075]
395;[-2.7019083  -4.64026352]
396;[-2.67411547 -4.65416548]
397;[-2.64593756 -4.66812923]
398;[-2.61737541 -4.6821574 ]
399;[-2.58842988 -4.69625264]
400;[-2.55910187 -4.71041763]
401;[-2.52939229 -4.72465508]
402;[-2.49930207 -4.73896774]
403;[-2.46883217 -4.75335837]
404;[-2.43798355 -4.76782977]
405;[-2.40675722 -4.78238477]
406;[-2.3751542  -4.79702624]
407;[-2.34317552 -4.81175705]
408;[-2.31082225 -4.82658014]
409;[-2.27809547 -4.84149844]
410;[-2.24499629 -4.85651495]
411;[-2.21152584 -4.87163266]
412;[-2.17768526 -4.88685463]
413;[-2.14347572 -4.90218392]
414;[-2.10889843 -4.91762363]
415;[-2.07395459 -4.93317691]
416;[-2.03864544 -4.94884691]
417;[-2.00297225 -4.96463682]
418;[-1.9669363  -4.98054989]
419;[-1.93053889 -4.99658937]
420;[-1.89378134 -5.01275854]
421;[-1.85666502 -5.02906073]
422;[-1.8191913  -5.04549929]
423;[-1.78136157 -5.06207761]
424;[-1.74317725 -5.07879911]
425;[-1.7046398  -5.09566723]
426;[-1.66575067 -5.11268545]
427;[-1.62651136 -5.1298573 ]
428;[-1.58692339 -5.14718631]
429;[-1.5469883  -5.16467606]
430;[-1.50670765 -5.18233016]
431;[-1.46608304 -5.20015226]
432;[-1.42511608 -5.21814602]
433;[-1.38380842 -5.23631515]
434;[-1.34216172 -5.25466339]
435;[-1.30017769 -5.2731945 ]
436;[-1.25785805 -5.29191229]
437;[-1.21520454 -5.31082058]
438;[-1.17221895 -5.32992324]
439;[-1.12890309 -5.34922417]
440;[-1.08525879 -5.36872728]
441;[-1.04128793 -5.38843653]
442;[-0.9969924 -5.4083559]
443;[-0.95237414 -5.42848941]
444;[-0.90743511 -5.4488411 ]
445;[-0.86217731 -5.46941504]
446;[-0.81660277 -5.49021532]
447;[-0.77071356 -5.51124608]
448;[-0.72451178 -5.53251147]
449;[-0.67799959 -5.55401565]
450;[-0.63117915 -5.57576284]
451;[-0.58405271 -5.59775725]
452;[-0.53662252 -5.62000314]
453;[-0.48889089 -5.64250476]
454;[-0.44086019 -5.66526642]
455;[-0.39253282 -5.6882924 ]
456;[-0.34391124 -5.71158703]
457;[-0.29499795 -5.73515465]
458;[-0.24579552 -5.75899959]
459;[-0.19630657 -5.78312622]
460;[-0.14653379 -5.80753888]
461;[-0.09647992 -5.83224196]
462;[-0.04614778 -5.8572398 ]
463;[ 4.45973991e-03 -5.88253677e+00]
464;[ 0.05533969 -5.90813723]
465;[ 0.10648902 -5.93404551]
466;[ 0.15790461 -5.96026595]
467;[ 0.20958323 -5.98680283]
468;[ 0.26152159 -6.01366046]
469;[ 0.31371627 -6.04084306]
470;[ 0.36616376 -6.06835484]
471;[ 0.41886041 -6.09619996]
472;[ 0.47180248 -6.12438253]
473;[ 0.52498607 -6.15290657]
474;[ 0.57840718 -6.18177606]
475;[ 0.63206162 -6.21099488]
476;[ 0.68594507 -6.2405668 ]
477;[ 0.74005303 -6.27049551]
478;[ 0.79438082 -6.30078456]
479;[ 0.84892355 -6.33143737]
480;[ 0.90367615 -6.3624572 ]
481;[ 0.95863331 -6.39384716]
482;[ 1.01378949 -6.42561014]
483;[ 1.06913887 -6.45774884]
484;[ 1.12467537 -6.49026573]
485;[ 1.18039263 -6.52316302]
486;[ 1.23628393 -6.55644263]
487;[ 1.29234226 -6.59010618]
488;[ 1.34856019 -6.62415494]
489;[ 1.40492995 -6.65858983]
490;[ 1.46144332 -6.69341132]
491;[ 1.51809163 -6.72861948]
492;[ 1.57486574 -6.76421387]
493;[ 1.63175598 -6.80019354]
494;[ 1.68875214 -6.83655695]
495;[ 1.74584343 -6.87330196]
496;[ 1.80301844 -6.91042578]
497;[ 1.86026508 -6.94792488]
498;[ 1.91757056 -6.98579498]
499;[ 1.97492137 -7.02403098]
500;[ 2.03230318 -7.06262689]
501;[ 2.08970086 -7.10157583]
502;[ 2.14709839 -7.14086989]
503;[ 2.20447888 -7.18050017]
504;[ 2.26182446 -7.22045665]
505;[ 2.31911629 -7.26072821]
506;[ 2.37633454 -7.30130253]
507;[ 2.43345831 -7.34216608]
508;[ 2.49046566 -7.38330409]
509;[ 2.54733356 -7.4247005 ]
510;[ 2.60403793 -7.46633797]
511;[ 2.66055355 -7.50819788]
512;[ 2.71685418 -7.55026029]
513;[ 2.77291249 -7.59250403]
514;[ 2.82870013 -7.63490665]
515;[ 2.88418778 -7.67744455]
516;[ 2.93934516 -7.72009296]
517;[ 2.99414116 -7.76282609]
518;[ 3.04854384 -7.80561715]
519;[ 3.10252058 -7.8484385 ]
520;[ 3.15603816 -7.89126174]
521;[ 3.20906281 -7.93405786]
522;[ 3.26156044 -7.97679734]
523;[ 3.31349665 -8.01945033]
524;[ 3.36483693 -8.06198676]
525;[ 3.41554676 -8.10437654]
526;[ 3.46559178 -8.14658968]
527;[ 3.51493787 -8.18859644]
528;[ 3.56355135 -8.2303675 ]
529;[ 3.61139907 -8.27187407]
530;[ 3.65844855 -8.31308808]
531;[ 3.70466813 -8.35398223]
532;[ 3.75002707 -8.39453018]
533;[ 3.79449566 -8.43470659]
534;[ 3.83804536 -8.47448727]
535;[ 3.88064888 -8.51384921]
536;[ 3.92228028 -8.55277065]
537;[ 3.96291505 -8.59123118]
538;[ 4.00253021 -8.62921171]
539;[ 4.04110438 -8.66669454]
540;[ 4.07861784 -8.70366335]
541;[ 4.11505258 -8.74010321]
542;[ 4.1503924  -8.77600058]
543;[ 4.18462291 -8.81134327]
544;[ 4.2177316 -8.8461204]
545;[ 4.24970787 -8.8803224 ]
546;[ 4.28054309 -8.91394093]
547;[ 4.31023062 -8.94696883]
548;[ 4.3387658  -8.97940008]
549;[ 4.36614603 -9.0112297 ]
550;[ 4.39237077 -9.0424537 ]
551;[ 4.41744156 -9.07306903]
552;[ 4.441362   -9.10307343]
553;[ 4.46413783 -9.13246543]
554;[ 4.48577687 -9.16124423]
555;[ 4.50628905 -9.18940959]
556;[ 4.52568643 -9.21696178]
