X;Y
91;"[[4.66143223 2.32921612]
 [2.32921612 1.33      ]]"
92;"[[4.66136983 2.32918492]
 [2.32918492 1.33      ]]"
93;"[[4.66130572 2.32915286]
 [2.32915286 1.33      ]]"
94;"[[4.66123987 2.32911993]
 [2.32911993 1.33      ]]"
95;"[[4.66117225 2.32908612]
 [2.32908612 1.33      ]]"
96;"[[4.66110284 2.32905142]
 [2.32905142 1.33      ]]"
97;"[[4.66103161 2.3290158 ]
 [2.3290158  1.33      ]]"
98;"[[4.66095853 2.32897927]
 [2.32897927 1.33      ]]"
99;"[[4.66088359 2.3289418 ]
 [2.3289418  1.33      ]]"
100;"[[4.66080675 2.32890338]
 [2.32890338 1.33      ]]"
101;"[[4.660728 2.328864]
 [2.328864 1.33    ]]"
102;"[[4.66064729 2.32882364]
 [2.32882364 1.33      ]]"
103;"[[4.6605646 2.3287823]
 [2.3287823 1.33     ]]"
104;"[[4.66047992 2.32873996]
 [2.32873996 1.33      ]]"
105;"[[4.66039321 2.3286966 ]
 [2.3286966  1.33      ]]"
106;"[[4.66030444 2.32865222]
 [2.32865222 1.33      ]]"
107;"[[4.6602136 2.3286068]
 [2.3286068 1.33     ]]"
108;"[[4.66012064 2.32856032]
 [2.32856032 1.33      ]]"
109;"[[4.66002556 2.32851278]
 [2.32851278 1.33      ]]"
110;"[[4.65992831 2.32846415]
 [2.32846415 1.33      ]]"
111;"[[4.65982887 2.32841443]
 [2.32841443 1.33      ]]"
112;"[[4.65972721 2.32836361]
 [2.32836361 1.33      ]]"
113;"[[4.65962332 2.32831166]
 [2.32831166 1.33      ]]"
114;"[[4.65951715 2.32825858]
 [2.32825858 1.33      ]]"
115;"[[4.65940869 2.32820434]
 [2.32820434 1.33      ]]"
116;"[[4.6592979  2.32814895]
 [2.32814895 1.33      ]]"
117;"[[4.65918476 2.32809238]
 [2.32809238 1.33      ]]"
118;"[[4.65906924 2.32803462]
 [2.32803462 1.33      ]]"
119;"[[4.65895132 2.32797566]
 [2.32797566 1.33      ]]"
120;"[[4.65883096 2.32791548]
 [2.32791548 1.33      ]]"
121;"[[4.65870813 2.32785407]
 [2.32785407 1.33      ]]"
122;"[[4.65858282 2.32779141]
 [2.32779141 1.33      ]]"
123;"[[4.65845498 2.32772749]
 [2.32772749 1.33      ]]"
124;"[[4.6583246 2.3276623]
 [2.3276623 1.33     ]]"
125;"[[4.65819164 2.32759582]
 [2.32759582 1.33      ]]"
126;"[[4.65805608 2.32752804]
 [2.32752804 1.33      ]]"
127;"[[4.65791789 2.32745894]
 [2.32745894 1.33      ]]"
128;"[[4.65777703 2.32738851]
 [2.32738851 1.33      ]]"
129;"[[4.65763348 2.32731674]
 [2.32731674 1.33      ]]"
130;"[[4.65748722 2.32724361]
 [2.32724361 1.33      ]]"
131;"[[4.6573382 2.3271691]
 [2.3271691 1.33     ]]"
132;"[[4.65718641 2.3270932 ]
 [2.3270932  1.33      ]]"
133;"[[4.65703181 2.3270159 ]
 [2.3270159  1.33      ]]"
134;"[[4.65687437 2.32693719]
 [2.32693719 1.33      ]]"
135;"[[4.65671407 2.32685703]
 [2.32685703 1.33      ]]"
136;"[[4.65655087 2.32677543]
 [2.32677543 1.33      ]]"
137;"[[4.65638474 2.32669237]
 [2.32669237 1.33      ]]"
138;"[[4.65621566 2.32660783]
 [2.32660783 1.33      ]]"
139;"[[4.65604359 2.32652179]
 [2.32652179 1.33      ]]"
140;"[[4.6558685  2.32643425]
 [2.32643425 1.33      ]]"
141;"[[4.65569037 2.32634518]
 [2.32634518 1.33      ]]"
142;"[[4.65550915 2.32625458]
 [2.32625458 1.33      ]]"
143;"[[4.65532483 2.32616241]
 [2.32616241 1.33      ]]"
144;"[[4.65513736 2.32606868]
 [2.32606868 1.33      ]]"
145;"[[4.65494672 2.32597336]
 [2.32597336 1.33      ]]"
146;"[[4.65475288 2.32587644]
 [2.32587644 1.33      ]]"
147;"[[4.6545558 2.3257779]
 [2.3257779 1.33     ]]"
148;"[[4.65435545 2.32567772]
 [2.32567772 1.33      ]]"
149;"[[4.6541518 2.3255759]
 [2.3255759 1.33     ]]"
150;"[[4.65394482 2.32547241]
 [2.32547241 1.33      ]]"
151;"[[4.65373447 2.32536723]
 [2.32536723 1.33      ]]"
152;"[[4.65352072 2.32526036]
 [2.32526036 1.33      ]]"
153;"[[4.65330354 2.32515177]
 [2.32515177 1.33      ]]"
154;"[[4.6530829  2.32504145]
 [2.32504145 1.33      ]]"
155;"[[4.65285875 2.32492938]
 [2.32492938 1.33      ]]"
156;"[[4.65263107 2.32481554]
 [2.32481554 1.33      ]]"
157;"[[4.65239983 2.32469991]
 [2.32469991 1.33      ]]"
158;"[[4.65216498 2.32458249]
 [2.32458249 1.33      ]]"
159;"[[4.6519265  2.32446325]
 [2.32446325 1.33      ]]"
160;"[[4.65168434 2.32434217]
 [2.32434217 1.33      ]]"
161;"[[4.65143848 2.32421924]
 [2.32421924 1.33      ]]"
162;"[[4.65118887 2.32409444]
 [2.32409444 1.33      ]]"
163;"[[4.65093549 2.32396775]
 [2.32396775 1.33      ]]"
164;"[[4.65067829 2.32383915]
 [2.32383915 1.33      ]]"
165;"[[4.65041724 2.32370862]
 [2.32370862 1.33      ]]"
166;"[[4.65015231 2.32357615]
 [2.32357615 1.33      ]]"
167;"[[4.64988345 2.32344172]
 [2.32344172 1.33      ]]"
168;"[[4.64961062 2.32330531]
 [2.32330531 1.33      ]]"
169;"[[4.6493338 2.3231669]
 [2.3231669 1.33     ]]"
170;"[[4.64905293 2.32302647]
 [2.32302647 1.33      ]]"
171;"[[4.648768 2.322884]
 [2.322884 1.33    ]]"
172;"[[4.64847894 2.32273947]
 [2.32273947 1.33      ]]"
173;"[[4.64818573 2.32259287]
 [2.32259287 1.33      ]]"
174;"[[4.64788833 2.32244416]
 [2.32244416 1.33      ]]"
175;"[[4.64758669 2.32229334]
 [2.32229334 1.33      ]]"
176;"[[4.64728077 2.32214039]
 [2.32214039 1.33      ]]"
177;"[[4.64697055 2.32198527]
 [2.32198527 1.33      ]]"
178;"[[4.64665596 2.32182798]
 [2.32182798 1.33      ]]"
179;"[[4.64633698 2.32166849]
 [2.32166849 1.33      ]]"
180;"[[4.64601355 2.32150678]
 [2.32150678 1.33      ]]"
181;"[[4.64568564 2.32134282]
 [2.32134282 1.33      ]]"
182;"[[4.64535321 2.32117661]
 [2.32117661 1.33      ]]"
183;"[[4.64501621 2.32100811]
 [2.32100811 1.33      ]]"
184;"[[4.6446746 2.3208373]
 [2.3208373 1.33     ]]"
185;"[[4.64432832 2.32066416]
 [2.32066416 1.33      ]]"
186;"[[4.64397735 2.32048868]
 [2.32048868 1.33      ]]"
187;"[[4.64362163 2.32031082]
 [2.32031082 1.33      ]]"
188;"[[4.64326112 2.32013056]
 [2.32013056 1.33      ]]"
189;"[[4.64289577 2.31994788]
 [2.31994788 1.33      ]]"
190;"[[4.64252553 2.31976277]
 [2.31976277 1.33      ]]"
191;"[[4.64215036 2.31957518]
 [2.31957518 1.33      ]]"
192;"[[4.64177021 2.3193851 ]
 [2.3193851  1.33      ]]"
193;"[[4.64138503 2.31919251]
 [2.31919251 1.33      ]]"
194;"[[4.64099477 2.31899739]
 [2.31899739 1.33      ]]"
195;"[[4.64059939 2.31879969]
 [2.31879969 1.33      ]]"
196;"[[4.64019882 2.31859941]
 [2.31859941 1.33      ]]"
197;"[[4.63979303 2.31839652]
 [2.31839652 1.33      ]]"
198;"[[4.63938196 2.31819098]
 [2.31819098 1.33      ]]"
199;"[[4.63896556 2.31798278]
 [2.31798278 1.33      ]]"
200;"[[4.63854377 2.31777189]
 [2.31777189 1.33      ]]"
